ID,M 0-3,M 4-8,M 9-13,M 14-18,M 19-30,M 31-50,M 51+,F 0-3,F 4-8,F 9-13,F 14-18,F 19-30,F 31-50,F 51+
502386924.9686723,0,0,0,0,0,0,1,0,0,0,1,0,1,0
501887782.4699454,0,0,0,0,0,0,1,0,0,0,0,1,0,1
502386924.9746395,0,0,0,1,0,0,0,0,0,0,0,0,0,1
501887782.48186785,0,0,2,0,1,1,1,0,1,0,1,1,0,1
502387769.27100945,0,1,0,0,0,1,0,0,0,0,0,1,0,0
501888625.9334327,0,1,0,0,0,1,0,0,0,0,0,1,0,0
502387769.27846843,0,1,0,0,0,0,1,0,0,1,0,1,0,1
501888625.94088423,0,0,0,0,0,0,1,0,0,1,0,0,0,1
502387769.2859274,0,0,0,0,1,0,0,0,0,0,0,0,0,1
501888625.9483358,0,1,0,0,1,0,0,0,0,0,1,0,0,1
502387769.2933864,0,0,0,0,0,0,0,0,1,0,0,0,1,0
501888625.95578736,0,0,0,0,0,0,0,0,1,0,0,0,1,0
502387769.2943809,0,0,0,0,1,0,0,0,0,0,0,1,0,0
501888625.9567809,0,0,0,0,1,0,0,1,0,0,0,1,0,0
502387769.2958727,0,0,0,0,0,0,0,0,0,0,0,1,0,0
501888625.95827127,0,0,0,0,1,0,0,0,0,0,0,0,0,0
502387769.3033317,0,0,0,0,0,0,0,0,0,0,1,0,1,0
501888625.9657228,0,0,0,0,0,0,0,1,0,0,0,1,1,0
502387769.31128794,0,1,0,0,1,0,0,0,1,0,0,1,0,0
501888625.97367114,1,1,0,0,1,0,0,1,1,0,0,1,0,0
502387769.31874686,0,0,0,0,2,0,0,0,0,0,1,0,0,1
501888625.98112273,0,0,0,0,2,0,0,0,0,0,2,0,0,1
502387769.32620585,0,0,0,1,0,0,1,0,2,1,0,1,0,0
501888625.98857427,0,0,0,1,0,0,0,0,1,2,0,0,1,0
502387769.33366483,0,1,0,0,1,1,0,0,1,1,1,0,1,0
501888625.99602586,1,1,0,0,1,0,1,0,2,2,1,0,1,0
502387769.3411238,0,2,1,1,0,0,1,0,0,0,0,1,1,0
501888626.0034774,1,2,2,1,0,0,1,0,0,0,0,1,1,0
502486426.65390354,0,0,0,0,1,0,0,0,0,0,0,1,0,0
501987185.2960755,0,0,0,0,1,0,0,1,1,0,0,1,0,0
502486426.6658379,0,1,1,0,1,1,0,0,0,0,1,0,1,0
501987185.307998,0,1,2,1,0,1,0,1,1,1,0,0,1,0
502486426.6777722,0,1,0,1,0,1,0,0,0,1,0,0,1,0
501987185.31992054,1,1,1,1,0,1,0,0,0,1,0,0,1,0
501987185.331843,0,0,0,0,1,0,0,1,1,0,0,1,0,0
502486426.70164096,0,0,0,0,1,0,0,0,0,0,0,1,0,0
502486426.71357536,0,0,0,0,0,1,0,0,0,0,0,1,0,0
501987185.35568804,0,0,0,0,0,1,1,0,0,0,0,1,0,0
502486426.7240179,0,0,0,0,1,0,0,0,0,0,0,1,0,0
502486426.7255097,0,0,0,0,1,0,0,0,0,0,0,1,0,0
502486426.73744404,0,0,0,0,1,0,0,0,0,0,1,0,0,0
501987185.37953305,1,0,0,0,1,0,0,0,0,0,0,1,0,0
502486426.7439085,0,0,0,0,0,0,0,0,0,0,0,1,0,0
502486426.74937844,0,0,0,1,1,1,1,0,0,0,0,0,0,1
501987185.39145553,0,0,0,1,2,0,1,0,0,0,0,0,1,0
502486426.7613128,0,0,0,0,0,1,0,0,1,1,0,1,0,0
501987185.40337807,0,1,0,0,0,1,0,1,1,1,0,1,0,0
502536251.6171059,0,0,0,1,1,0,0,0,0,0,0,0,1,0
502036960.75608546,0,0,0,0,2,0,0,0,0,0,0,0,1,0
502536251.6230731,0,0,0,0,0,0,0,0,0,0,0,0,1,0
502036960.7620467,0,0,0,0,0,0,0,0,0,0,0,0,1,0
502536251.62655395,0,2,0,2,0,1,0,0,0,1,0,0,1,0
502036960.7655241,0,2,0,2,0,1,0,1,0,1,0,0,1,0
502536251.6355047,0,0,1,0,1,0,0,0,1,1,0,1,0,0
502036960.774466,0,0,1,0,0,1,0,2,1,2,0,1,0,0
502536251.6444555,0,1,1,0,0,0,1,0,0,1,0,0,1,0
